year,state,state_po,state_fips,candidatevotes,democratic_pct,democratic_pct_ave_1976_2024
2004,GEORGIA,GA,13,1366149,41.6,48.4
2004,HAWAII,HI,15,231708,54.4,59.7
2004,IDAHO,ID,16,181098,30.7,33.6
2004,ILLINOIS,IL,17,2891550,55.2,54.7
2004,INDIANA,IN,18,969011,39.6,42.8
2004,IOWA,IA,19,741898,49.7,49.6
2004,KANSAS,KS,20,434993,37.1,40.5
2004,KENTUCKY,KY,21,712733,40.0,42.9
2004,LOUISIANA,LA,22,820299,42.7,44.8
2004,MAINE,ME,23,396842,54.6,52.6
2004,MARYLAND,MD,24,1334493,56.6,58.0
2004,MASSACHUSETTS,MA,25,1803800,62.7,60.7
2004,MICHIGAN,MI,26,2479183,51.7,50.8
2004,MINNESOTA,MN,27,1445014,51.8,53.7
2004,MISSISSIPPI,MS,28,457766,40.5,43.1
2004,MISSOURI,MO,29,1259171,46.4,46.9
2004,MONTANA,MT,30,173710,39.5,42.8
2004,NEBRASKA,NE,31,254328,33.2,36.9
2004,NEVADA,NV,32,397190,48.7,46.9
2004,NEW HAMPSHIRE,NH,33,340511,50.7,47.3
2004,NEW JERSEY,NJ,34,1911430,53.4,52.5
2004,NEW MEXICO,NM,35,370942,49.6,50.8
2004,NEW YORK,NY,36,4314280,59.3,58.0
2004,NORTH CAROLINA,NC,37,1525849,43.8,47.2
2004,NORTH DAKOTA,ND,38,111052,36.1,37.9
2004,OHIO,OH,39,2741165,48.9,47.8
2004,OKLAHOMA,OK,40,503966,34.4,37.4
2004,OREGON,OR,41,943163,52.1,53.1
2004,PENNSYLVANIA,PA,42,2938095,51.3,51.1
2004,RHODE ISLAND,RI,44,259760,60.6,59.8
2004,SOUTH CAROLINA,SC,45,661669,41.4,44.2
2004,SOUTH DAKOTA,SD,46,149244,39.1,41.0
2004,TENNESSEE,TN,47,1036477,42.8,44.3
2004,TEXAS,TX,48,2832704,38.5,43.7
2004,UTAH,UT,49,241199,26.7,32.3
2004,VERMONT,VT,50,184067,60.3,58.1
2004,VIRGINIA,VA,51,1454742,45.9,48.0
2004,WASHINGTON,WA,53,1510201,53.6,53.9
2004,WEST VIRGINIA,WV,54,326541,43.5,44.6
2004,WISCONSIN,WI,55,1489504,50.2,51.1
2004,WYOMING,WY,56,70776,29.7,32.8
2000,ALABAMA,AL,1,692611,42.4,41.7
2000,ALASKA,AK,2,79004,32.1,38.7
2000,ARIZONA,AZ,4,685341,46.7,44.1
2000,ARKANSAS,AR,5,422768,47.2,45.5
2000,CALIFORNIA,CA,6,5861203,56.2,55.5
2000,COLORADO,CO,8,738227,45.5,48.4
2000,CONNECTICUT,CT,9,816015,59.3,54.0
2000,DELAWARE,DE,10,180068,56.7,54.2
2000,DISTRICT OF COLUMBIA,DC,11,171923,90.5,90.0
2000,FLORIDA,FL,12,2912253,50.0,46.9
2000,GEORGIA,GA,13,1116230,44.0,48.4
2000,HAWAII,HI,15,205286,59.8,59.7
2000,IDAHO,ID,16,138637,29.2,33.6
2000,ILLINOIS,IL,17,2589026,56.2,54.7
2000,INDIANA,IN,18,901980,42.0,42.8
2000,IOWA,IA,19,638517,50.2,49.6
2000,KANSAS,KS,20,399276,39.1,40.5
2000,KENTUCKY,KY,21,638923,42.3,42.9
2000,LOUISIANA,LA,22,792344,46.1,44.8
2000,MAINE,ME,23,319951,52.7,52.6
2000,MARYLAND,MD,24,1144008,58.4,58.0
2000,MASSACHUSETTS,MA,25,1616487,64.8,60.7
2000,MICHIGAN,MI,26,2170418,52.6,50.8
2000,MINNESOTA,MN,27,1168266,51.3,53.7
2000,MISSISSIPPI,MS,28,404614,41.4,43.1
2000,MISSOURI,MO,29,1111138,48.3,46.9
2000,MONTANA,MT,30,137126,36.3,42.8
2000,NEBRASKA,NE,31,231780,34.8,36.9
2000,NEVADA,NV,32,279978,48.1,46.9
2000,NEW HAMPSHIRE,NH,33,266348,49.3,47.3
2000,NEW JERSEY,NJ,34,1788850,58.2,52.5
2000,NEW MEXICO,NM,35,286783,50.0,50.8
2000,NEW YORK,NY,36,4107697,63.1,58.0
2000,NORTH CAROLINA,NC,37,1257692,43.5,47.2
2000,NORTH DAKOTA,ND,38,95284,35.3,37.9
2000,OHIO,OH,39,2183628,48.2,47.8
2000,OKLAHOMA,OK,40,474276,38.9,37.4
2000,OREGON,OR,41,720342,50.2,53.1
2000,PENNSYLVANIA,PA,42,2485967,52.1,51.1
2000,RHODE ISLAND,RI,44,249508,65.6,59.8
